userId,movieId,rating,timestamp
1,1,5.0,964982703
2,1,3.5,964981247
3,2,4.0,964982224
4,2,2.0,964981739
5,3,4.5,964982448
6,3,3.0,964981842
7,4,2.5,964982568
8,4,4.0,964981956
9,5,5.0,964982715
10,5,3.5,964981234
11,6,4.0,964982678
12,6,2.0,964981872
13,7,3.5,964982943
14,7,4.0,964981629
15,8,2.5,964982754
16,8,3.0,964981912
17,9,5.0,964982672
18,9,4.5,964981234
19,10,3.0,964982678
20,10,2.5,964981872
1,11,4.0,964982945
2,11,3.5,964981621
3,12,4.5,964982673
4,12,2.0,964981937
5,13,5.0,964982834
6,13,3.0,964981549
7,14,4.0,964982754
8,14,2.5,964981628
9,15,5.0,964982679
10,15,3.5,964981710
11,16,4.0,964982825
12,16,2.0,964981812
13,17,3.5,964982726
14,17,4.0,964981937
15,18,2.5,964982692
16,18,3.0,964981542
17,19,5.0,964982654
18,19,4.5,964981789
19,20,3.0,964982774
20,20,2.5,964981633
1,1,4.5,964982892
2,2,3.0,964981865
3,3,4.0,964982645
4,4,2.5,964981947
5,5,5.0,964982773
6,6,3.5,964981912
7,7,4.0,964982728
8,8,2.0,964981654
9,9,5.0,964982783
10,10,3.0,964981739
11,11,4.0,964982746
12,12,2.5,964981674
13,13,3.5,964982934
14,14,4.0,964981782
15,15,2.0,964982791
16,16,3.5,964981683
17,17,4.5,964982724
18,18,2.0,964981756
19,19,5.0,964982655
20,20,3.5,964981896
1,2,4.0,964982712
2,3,2.5,964981859
3,4,5.0,964982734
4,5,3.0,964981692
5,6,4.5,964982749
6,7,3.0,964981683
7,8,2.0,964982624
8,9,4.0,964981747
9,10,2.5,964982764
10,11,3.5,964981894
11,12,5.0,964982785
12,13,2.0,964981759
13,14,3.0,964982691
14,15,4.5,964981897
15,16,4.0,964982674
16,17,3.5,964981865
17,18,2.0,964982753
18,19,5.0,964981706
19,20,4.0,964982643
20,1,3.0,964981732
